DATE,CAR IDENTIFICATION,SERVICE,AMOUNT,CODE,NOT PAID,BALANCE,ADDITIONAL SERVICE,RESPONSIBILITY,
09/08/2024,KCY 688Y COLT,WASH AND VACUUM,600,MPESA,PAID,,,,
09/08/2024,KAY 419 FORRESTER,NORMAL WASH,300,MPESA,PAID,,,,
09/08/2024,KCH 178G LEXUS,NORMAL WASH,300,MPESA,PAID,,,,
09/08/2024,KDL 274X ISUZU,NORMAL WASH,300,MPESA,PAID,,,,
09/08/2024,KBA 128G BENZ,WASH AND VACUUM,400,CASH,PAID,,,,
09/08/2024,KDB 647W PRADO,WASH AND VACUUM,800,MPESA,PAID,,,,
10/08/2024,KAV 198Z PRADO,WASH AND VACUUM,600,CASH,PAID,,,,
10/08/2024,KDG 966E FORD,NORMAL WASH,400,MPESA,PAID,,,,
10/08/2024,KDH 544M BMW,WASH AND VACUUM,800,MPESA,PAID,,,,
10/08/2024,KCW 966Q HONDA,WASH AND VACUUM,500,MPESA,PAID,,,,
10/08/2024,KCC 211R SUBARU,ENGINE WATER WASH,"1,000.00",MPESA,PAID,,,,
10/08/2024,KDQ 604R MAZDA,WASH AND VACUUM,500,CASH,PAID,,,,
11/08/2024,KBZ 782S HONDA,WASH AND VACUUM,300,MPESA,PAID,,,,
12/08/2024,KCY 688Y COLT,NORMAL WASH,300,MPESA,PAID,,,,
12/08/2024,KBD 059D FIELDER,WASH AND VACUUM,300,CASH,PAID,,,,
12/08/2024,KAE 590G BENZ,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2024,KDG 966E FORD,NORMAL WASH,400,MPESA,PAID,,,,
13/08/2025,KDD 448E PRADO,WASH AND VACUUM AND ENGINE,"1,300.00",MPESA,PAID,,,,
13/08/2026,KDA 598A MAZDA,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2027,KDE 814U VITS,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2028,KBZ 417H HONDA,WASH AND ENGINE,600,MPESA,PAID,,,,
13/08/2029,GKB 001H BENZ,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2030,KCF 684F OUTBACK,NORMAL WASH,300,MPESA,PAID,,,,
13/08/2031,KDG 068B TIGUAN,NORMAL WASH,300,MPESA,PAID,,,,
14/08/2024,KCW 419H FUSO,,"1,100.00",MPESA,PAID,,,,
14/08/2025,KCW 404 BMW,,600,CASH,PAID,,,,
15/08/2024,KCH 155U BENZ,NORMAL WASH,300,MPESA,PAID,,,,
15/08/2025,KCY 269F VOXY,NORMAL WASH,300,MPESA,PAID,,,,
15/08/2026,KDG 966E FORD,NORMAL WASH,400,MPESA,PAID,,,,
15/08/2027,KDH 177A WISH,NORMAL WASH,300,MPESA,PAID,,,,
15/08/2028,KDH 054G ISUZU,NORMAL WASH,500,MPESA,PAID,,,,
16/08/2024,KCR 330R COLT,NORMAL WASH,300,MPESA,PAID,,,,
16/08/2025,KCV 005X OUTBACK,WASH AND ENGINE,600,MPESA,PAID,,,STEVE,
16/08/2026,KDH 544H BMW,WASH AND VACUUM,800,MPESA,PAID,,,,
16/08/2027,KDG 966E FORD,NORMAL WASH,400,MPESA,PAID,,,,
16/08/2028,KDP 325T MAZDA,NORMAL WASH,600,MPESA,PAID,,,,
16/08/2029,KDQ 600T TOYOTA,NORMAL WASH,600,MPESA,PAID,,,,
16/08/2030,KDL 280Q CRUISER,NORMAL WASH,600,MPESA,PAID,,,,
17/08/2024,KBY 637S HONDA,WASH AND VACUUM,600,MPESA,PAID,,,,
17/08/2025,KDG 068B TIGUAN,WASH AND VACUUM,600,,PAID,,SERVICE INCLUSIVE,,
17/08/2026,KDQ 498X MAZDA,WASH AND VACUUM AND ENGINE,"1,300.00",MPESA,PAID,,,,
17/08/2027,KAZ 559K TOYOTA,WASH AND VACUUM,600,MPESA,PAID,,,,
17/08/2028,KDK 305V NOTE,NORMAL WASH,300,MPESA,PAID,,,,
17/08/2029,KCH 178C LEXUS,NORMAL WASH,300,MPESA,PAID,,,,
19/08/2024,KCY 688F COLT,NORMAL WASH,300,MPESA,PAID,,,,
19/08/2025,KDC 082 BMW,WASH AND VACUUM,600,MPESA,PAID,,,,
20/08/2024,KCN 419F TOYOTA,NORMAL WASH,300,MPESA,PAID,,,,
20/08/2025,KDC 966E FORD,NORMAL WASH,400,MPESA,PAID,,,,
20/08/2026,KDG 006B TIGUAN,NORMAL WASH,300,MPESA,PAID,,,,
20/08/2027,KCJ 499K TOYOTA,NORMAL WASH,"3,000.00",MPESA, PAID,,SEATS WASH ,STEVE,
20/08/2028,KCV 989S MERCEDES,NORMAL WASH,600,MPESA,PAID,,,,
21/08/2024,KCZ 941L TOYOTA HILUX,NORMAL WASH,300,MPESA,PAID,,,,
21/08/2025,KCL 133P FORD RANGER,NORMAL WASH,500,MPESA,PAID,,,,
21/08/2026,KBW 486R TOYOTA BELTA,NORMAL WASH,300,MPESA, PAID,,,,
21/08/2027,KCX 044X SUBARU ,NORMAL WASH,600,MPESA, PAID,,,,
21/08/2028,KCM 440C MERCEDES,NORMAL WASH,200,MPESA, PAID,,OUTSIDE ONLY,,
22/08/2024,KCY 688F COLT,NORMAL WASH,300,M-PESA,PAID,,,,
22/08/2025,KBZ 782S CR-V HONDA,NORMAL WASH, -   ,,,,SERVICE INCLUSIVE,,
22/08/2026,KCW 387X TOYOTA AXIO,WASH AND ENGINE,600,M-PESA,PAID,,,,
22/08/2027,KDD 448E LAND CRUISER,NORMAL WASH,400,M-PESA,PAID,,,,
22/08/2028, KCZ 432E BMW,NORMAL WASH,300,CASH,PAID, -   ,,,
23/08/2024,KCR  340X COLT,NORMAL WASH,300,M-PESA,PAID,,,,
23/08/2025,KBM 510F ALPHARD,NORMAL WASH,300,M-PESA,PAID,,,,
23/08/2026,KDG 006B VOLKSWAGEN,WASH AND VACUUM,600,M-PESA,PAID,,,,
24/08/2024,KCH 619H SUBARU,NORMAL WASH,150,M-PESA,PAID,,OUTSIDE ONLY,,
24/08/2025,KCH 178C LEXUS,NORMAL WASH,300,M-PESA,PAID,,,,
24/08/2026,KCS 133E PRADO,NORMAL WASH,"2,300.00",M-PESA,PAID,,FOOD,,
24/08/2027,KBZ 782S CR-V HONDA,RIM POLISH,"2,000.00",M-PESA,PAID,,,,
24/08/2028,KDC 966E FORD,NORMAL WASH, -   ,,NOT PAID,400,,ANTHONY,WRITE OFF
24/08/2029,KBQ 300A LAND CRUISER,WASH AND ENGINE,600,M-PESA,PAID,,,,
24/08/2030,KDD 561B SUBARU,WASH AND VACUUM,600,M-PESA,PAID,,,,
24/08/2031,KCE 198Y BMW,ENGINE WATER WASH,300,CASH,PAID,,,,
25/08/2024,KBQ 498 WRX,NORMAL WASH,300,M-PESA,PAID,,,,
25/08/2025,KCA 298 LANCER,NORMAL WASH,300,M-PESA,PAID,,,,
26/08/2024,KDD 561B SUBARU,NORMAL WASH,"1,000.00",M-PESA,PAID,"1,000.00",CARPET WASHING,STEVE,
26/08/2025,KBZ 286W BMW,NORMAL WASH,300,M-PESA,PAID,,,,
26/08/2026,KCP 836P SUBARU,WASH AND VACUUM,600,M-PESA,PAID,,,,
26/08/2027,KDH 177N WISH,NORMAL WASH,300,M-PESA,PAID,,,,
26/08/2028,KBK 140N PREMIO,NORMAL WASH,300,CASH,PAID,,,,
27/08/2024,KDQ 245C MIRAGE,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2025,KAT 289N LANDCRUISER,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2026,KDG 982X CROWN,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2027,KBZ 050U SUBARU,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2028,KBX 580Q MERCEDES,WASH AND ENGINE,600,M-PESA,PAID,,,STEVE,
27/08/2029,KAK 542Q TOYOTA,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2030,KDP 018H HILUX,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2031,KCH 344D BENZ,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2032,KDG 966E FORD,NORMAL WASH,,,NOT PAID,400,,ANTHONY,WRITE OFF
27/08/2033,KDG 350Q BENZ,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2034,KDM 367T AXIO,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2035,KCH 155U MERCEDES,NORMAL WASH,300,M-PESA,PAID,,,,
27/08/2036,KDG 006B VOLKS WAGEN,NORMAL WASH,300,M-PESA,PAID,,,,
28/08/2025,KAQ 985G RAV4,ENGINE WATER WASH,300,,PAID,,,STEVE,
28/08/2026,KDG 082B BMW,WASH AND ENGINE,"1,000.00",MPESA,PAID,,,,
28/08/2027,KCV 344G BMW,NORMAL WASH,300,,PAID,,,STEVE,
28/08/2028,KCG 369B HARRIER,NORMAL WASH,300,MPESA,PAID,,,SERVICE INCLUSIVE,
28/08/2029,KDH 051H ISUZU,NORMAL WASH,,,NOT PAID,300,,ANTHONY,WRITE OFF
28/08/2030,KDD 448E PRADO,NORMAL WASH,400,MPESA,PAID,,,,
28/08/2031,KCX 044X SUBARU,NORMAL WASH,300,MPESA,PAID,,,,
28/08/2032,KBG 520N TOYOTA,NORMAL WASH,300,MPESA,PAID,,,,
28/08/2033,CARPETS,NORMAL WASH,"2,000.00",MPESA,PAID,,,,
29/08/2025,KCD 921T PRADO,NORMAL WASH,300,MPESA,PAID,,,,
29/08/2026,KCH 344D BENZ,NORMAL WASH,300,MPESA,PAID,,,,
29/08/2027,KCP 684T HYUNDAI,NORMAL WASH,300,MPESA,PAID,,,,
29/08/2028,KCN 491F TOYOTA,NORMAL WASH,300,CASH,PAID,,,,
29/08/2029,KDN 047Z DISCOVERY,NORMAL WASH,300,CASH,PAID,,,,
29/08/2030,KDG 966E FORD,NORMAL WASH,,,NOT PAID,300,,ANTHONY,WRITE OFF
29/08/2031,KDL 100D LANDCRUISER V8,NORMAL WASH, -   ,MPESA,PAID,,,SERVICE INCLUSIVE,
30/08/2025,KBA 106 TOYOTA,NORMAL WASH,300,,PAID,,,STEVE,
30/08/2026,KDH 717 ISUZU,NORMAL WASH,300,,PAID,,,STEVE,
30/08/2027,KCY 688 COLT,NORMAL WASH,300,MPESA,PAID,,,,
30/08/2028,KAK 552Q COROLLA,NORMAL WASH,300,MPESA,PAID,,,,
30/08/2029,KAW 433D ISUZU,NORMAL WASH,300,CASH,PAID,,,STEVE,
31/08/2025,KBZ 479A VOXY,WASH AND ENGINE,600,MPESA,PAID,,,,
31/08/2026,KDB 501Z LEXUS,NORMAL WASH,300,MPESA,PAID,,,SERVICE INCLUSIVE,
31/08/2027,KCG 369B HARRIER,NORMAL WASH,"2,300.00",MPESA,PAID,,RIM RESTORATION,,
31/08/2028,KDG 006B TIGUAN,NORMAL WASH,300,MPESA,PAID,,,SERVICE INCLUSIVE,
31/08/2029,KAY 340S LEXUS,WASH AND ENGINE,600,CASH,PAID,,,,
31/08/2030,KBK 140M PREMIO,NORMAL WASH,300,,PAID,,,,
31/08/2031,KDB 647W PRADO,NORMAL WASH,400,MPESA,PAID,,,,
31/08/2032,KCW 996F HONDA,NORMAL WASH,300,MPESA,PAID,,,,
31/08/2033,KCD 088P HARRIER,NORMAL WASH,300,MPESA,PAID,,,,
31/08/2034,KDQ 604R DEMIO,NORMAL WASH,500,MPESA,PAID,,,,
31/08/2035,KCA 320A BMW,NORMAL WASH,300,CASH,PAID,,,,
