DATE,CAR IDENTIFICATION,SERVICE,AMOUNT,CODE,STATUS,BALANCE,ADDITIONAL SERVICE,RESPONSIBILITY,Normal
10/01/2024,KDP 330S MERCEDES ,NORMAL WASH,300,MPESA,PAID,,,,
10/01/2024,KAX 577J COROLLA,NORMAL WASH,300,MPESA,PAID,,,,
10/01/2024,KCR 330Z COLTT,NORMAL WASH,300,MPESA,PAID,,,,
10/01/2024,CARPET,NORMAL WASH,"2,700.00",CASH,PAID,,,,ANTHONY RECEIVED CASH
10/01/2024,KDP 911E MERCEDES,NORMAL WASH,300,MPESA,PAID,,,SERVICE INCLUSIVE,
10/01/2024,KDE 003J MERCEDES,NORMAL WASH,300,MPESA,PAID,,,SERVICE INCLUSIVE,
10/01/2024,KCW 404X BMW,NORMAL WASH,300,,PAID,,,STEVE,
10/02/2024,KCY 688T COLT,NORMAL WASH,200,MPESA,PAID,,,,
10/02/2024,KCG 369V HARRIER,NORMAL WASH,300,MPESA,PAID,,,,
10/03/2024,KCG 369V HARRIER,NORMAL WASH,"3,000.00",MPESA,PAID,,,SERVICE INCLUSIVE,
10/03/2024,KDQ 379H AXELA,WASH AND ENGINE,600,MPESA,PAID,,,,
10/03/2024,KDH 177M WISH,NORMAL WASH,300,MPESA,PAID,,,,
10/03/2024,KCP 684T HYUNDAI,WASH AND ENGINE,600,MPESA,PAID,,,,
10/03/2024,KBM 458Z  SUCCEED,ENGINE WATER WASH,300,MPESA,PAID,,,,
10/04/2024,KCR 340X COLT,NORMAL WASH,200,MPESA,PAID,,,,
10/04/2024,KDG 966E FORD,NORMAL WASH,,,UNPAID,400,,ANTHONY,WRITE OFF
10/04/2024,KBW 240R HYUNDAI,NORMAL WASH,200,MPESA,PAID,,,,
10/04/2024,KDN 384R MAZDA,NORMAL WASH,300,MPESA,PAID,,,,
10/04/2024,KDD 614Z GOLF,NORMAL WASH,300,MPESA,PAID,,,,
10/04/2024,KDD 161P MAZDA,WASH AND VACUUM,600,MPESA,PAID,,,,
10/04/2024,BLOCK AND HEADERS,NORMAL WASH,200,MPESA,PAID,,,,
10/05/2024,KCQ 395H MERCEDES,NORMAL WASH,300,,PAID,,,,
10/05/2024,KCN 419F ALLION,NORMAL WASH,300,MPESA,PAID,,,,
10/05/2024,KCX 493F HONDA,NORMAL WASH,,,UNPAID,300,,GORDON,WRITE OFF
10/05/2024,KCJ 368R DUALIS,WASH AND VACUUM,300,MPESA,PAID,,,,
10/05/2024,KCW 966F HONDA,WASH AND VACUUM AND ENGINE,,,UNPAID,900,,EVA ,WRITE OFF
10/05/2024,KBJ 368Q MARK X,WASH AND VACUUM,600,MPESA,PAID,,,,
10/05/2024,KAH 095C RANGE ROVER,NORMAL WASH,,,UNPAID,300,,SERVICE INCLUSIVE,
10/05/2024,KBT 961P MERCEDES,NORMAL WASH,300,,PAID,,,STEVE,
10/05/2024,KDH 746M CUBE,NORMAL WASH,300,MPESA,PAID,,,,
10/05/2024,KCR 330Z COLT,NORMAL WASH,300,MPESA,PAID,,,,
10/05/2024,KCU 106U HILUX,NORMAL WASH,300,MPESA,PAID,,,,
10/05/2024,KDG 604R MAZDA,NORMAL WASH,300,CASH,PAID,,,,
10/07/2024,KDC 966E FORD,NORMAL WASH,,MPESA,UNPAID,400,,ANTHONY,
10/07/2024,KCZ 942T NOAH,NORMAL WASH,300,MPESA,PAID,,,,
10/07/2024,KDN 384R MAZDA,NORMAL WASH,300,MPESA,PAID,,,,
10/07/2024,KDD 448E PRADO,NORMAL WASH,400,MPESA,PAID,,,,
10/07/2024,KDK 555D FORRESTER,WASH AND ENGINE,600,MPESA,PAID,,,,
10/07/2024,KDG 082B BMW,NORMAL WASH,300,MPESA,PAID,,,,
10/07/2024,GKA 122T MERCEDES,NORMAL WASH,,MPESA,UNPAID,300,,SERVICE INCLUSIVE,
10/08/2024,KBP 160T RUNX,NORMAL WASH,300,MPESA,PAID,,,,
10/08/2024,KDK 066W FORD,NORMAL WASH,300,MPESA,PAID,,,,
10/08/2024,KCR 340X COLT,WASH AND ENGINE,600,MPESA,PAID,,,,
10/08/2024,CARPET,NORMAL WASH,"1,500.00",MPESA,PAID,,,,
10/08/2024,FIELDER  - SEATS,NORMAL WASH,"1,500.00",MPESA,PAID,,,,
10/08/2024,GKA 196R MERCEDES-BENZ ,NORMAL WASH,,,UNPAID,,,ASK ANTHONY FOR PRICING,
10/08/2024,KDN 490J MAZDA,NORMAL WASH,300,MPESA,PAID,,,,
10/09/2024,KCJ 061L VOLVO,NORMAL WASH,300,MPESA,PAID,,,,
10/09/2024,KBV 667U MERCEDES,WASH AND VACUUM,,,UNPAID,600,,ANTHONY ,
10/09/2024,KDQ 379H MAZDA,NORMAL WASH,300,MPESA,PAID,,,,
10/09/2024,KBF 538D SUBARU,NORMAL WASH,300,MPESA,PAID,,,,
10/10/2024,KCY 688F COLT,NORMAL WASH,200,MPESA,PAID,,,,
10/10/2024,MOTORCYCLE,NORMAL WASH,100,MPESA,PAID,,,,
10/10/2024,KCT 046L LANCER,NORMAL WASH,300,MPESA,PAID,,,,
10/11/2024,KAU 437N SUBARU,NORMAL WASH,300,MPESA,PAID,,,,
10/11/2024,KDA 588W PRADO,NORMAL WASH,400,MPESA,PAID,,,,
10/11/2024,KCG 369B HARRIER,NORMAL WASH,300,MPESA,PAID,,,,
10/12/2024,KAM 846E BMW,WASH AND ENGINE,600,MPESA,PAID,,,,
10/12/2024,KAX 577J PREMIO,NORMAL WASH,300,MPESA,PAID,,,,
10/12/2024,KAK 788P SUBARU,WASH AND ENGINE,500,MPESA,PAID,,,BOOSTED,
10/12/2024,KDE 956R NOTE,NORMAL WASH,200,MPESA,PAID,,,BOOSTED,
10/12/2024,KBR 156V FORRESTER,NORMAL WASH,300,MPESA,PAID,,,,
10/12/2024,CARRPET,NORMAL WASH,,,UNPAID,"1,000.00",,STEVE/MUTUA,
10/12/2024,GKA 122T MERCEDES,NORMAL WASH,300,MPESA,PAID,,,,
10/12/2024,KCH 344D MERCEDES,NORMAL WASH,300,MPESA,PAID,,,,
10/12/2024,KDQ 604R MAZDA,NORMAL WASH,300,CASH,PAID,,,,
10/12/2024,KDD 448E PRADO,NORMAL WASH,400,MPESA,PAID,,,,
10/12/2024,KCD 088P HARRIER,NORMAL WASH,300,MPESA,PAID,,,,
10/12/2024,KCR 340X COLT,NORMAL WASH,300,MPESA,PAID,,,,
10/12/2024,KDK 305V NOTE,NORMAL WASH,300,MPESA,PAID,,,SERVICE INCLUSIVE,
10/12/2024,KCU 570V VANGUARD,NORMAL WASH,300,MPESA,PAID,,,,
10/14/2024,KAT 111T SUBARU,WASH AND ENGINE,600,MPESA,PAID,,,,
10/14/2024,KDM 778P HARRIER,NORMAL WASH,300,MPESA,PAID,,,SERVICE INCLUSIVE,
10/14/2024,KDC 966E FORD,NORMAL WASH,,,UNPAID,400,,ANTHONY,
10/14/2024,KDC 082B BMW,NORMAL WASH,300,MPESA,PAID,,,,
10/14/2024,KBF 538D SUBARU,NORMAL WASH,300,MPESA,PAID,,,,
10/14/2024,KCX 044X SUBARU,NORMAL WASH,300,MPESA,PAID,,,,
10/14/2024,KBY 727Y BMW,NORMAL WASH,300,MPESA,PAID,,,,
10/14/2024,KBQ 160T RUNX,NORMAL WASH,300,MPESA,PAID,,,,
10/15/2024,KCG 896M VANGUARD,NORMAL WASH,300,MPESA,PAID,,,,
10/15/2024,GKA 196R MERCEDES,WASH AND ENGINE,,,UNPAID,600,,SERVICE INCLUSIVE,
10/15/2024,KDG 350Q MERCEDES,NORMAL WASH,300,MPESA,PAID,,,,
10/15/2024,KCP 660L PRADO,NORMAL WASH,,,UNPAID,300,,SERVICE INCLUSIVE,
10/15/2024,KCG 369 HARRIER,,300,MPESA,PAID,,,,
10/15/2024,KCW 016Z JEEP,WASH AND VACUUM,600,MPESA,PAID,,,,
10/15/2024,KCY 688F COLT,NORMAL WASH,200,MPESA,PAID,,,BOOSTED,
10/16/2024,KAU 437N SUBARU,NORMAL WASH,300,MPESA,PAID,,,,
10/16/2024,KDG 966C FORD,NORMAL WASH,,,UNPAID,400,,ANTHONY,WRITE OFF
10/16/2024,KBM  RANGE ROVER,WASH AND VACUUM,,,UNPAID,300,,ANTHONY,WRITE OFF
10/16/2024,KAH 435J STARLET,NORMAL WASH,300,MPESA,PAID,,,,
10/16/2024,KCS 388F TOYOTA HILUX,WASH AND ENGINE,600,MPESA,PAID,,,,
10/16/2024,KDP 819H MAZDA,NORMAL WASH,300,MPESA,PAID,,,,
10/16/2024,KAM 664N STARLET,NORMAL WASH,300,MPESA,PAID,,,,
10/17/2024,KCR 330Z COLT,NORMAL WASH,300,MPESA,PAID,300,,,
10/17/2024,KAH 095C R.R,NORMAL WASH,,,UNPAID,300,,ANTHONY,WRITE OFF
10/17/2024,KDG 264 CX5,NORMAL WASH,300,MPESA,PAID,,,,
10/17/2024,KCY 688F COLT,NORMAL WASH,200,MPESA,PAID,,,BOOSTED,
10/17/2024,0422AC 07 BMW,ENGINE WATER WASH,300,MPESA,PAID,,,,
10/17/2024,KDH 199A MERCEDES,NORMAL WASH,300,MPESA,PAID,,,,
10/18/2024,KCE 330R CROWN,NORMAL WASH,300,MPESA,PAID,,,,
10/18/2024,KBZ 286W BMW,NORMAL WASH,300,MPESA,PAID,,,,
10/18/2024,KDN 384R CX5,NORMAL WASH,300,MPESA,PAID,,,,
10/18/2024,KBW 845T HONDA,NORMAL WASH,600,MPESA,PAID,,,,
10/18/2024,SSD SSD IMPREZA,WASH AND VACUUM,500,MPESA,PAID,,,BOOSTED,
10/18/2024,KCC 305B VOXY,ENGINE WATER WASH,300,MPESA,PAID,,,,
10/18/2024,KDC 966E FORD,WASH AND ENGINE,,,UNPAID,600,,ANTHONY,WRITE OFF
10/18/2024,KCH 178C LEXUS,NORMAL WASH,,,UNPAID,300,,GORDON,
10/19/2024,KDG 350Q MERCEDES,NORMAL WASH,300,MPESA,PAID,,,,
10/19/2024,KDN 025H HILUX,NORMAL WASH,300,MPESA,PAID,,,,
10/21/2024,KDC 966E FORD,NORMAL WASH,,,UNPAID,400,,,WRITE OFF
10/21/2024,KCY 688F COLT,NORMAL WASH,200,MPESA,PAID,,,BOOSTED,
10/21/2024,KBH 345F ALLION,WASH AND ENGINE,600,MPESA,PAID,,,,
10/21/2024,KCR 340X COLT,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/21/2024,GKA 955R MERCEDES,NORMAL WASH,,,UNPAID,,INTERIOR WASH,FOREIGN AFFAIRS,
10/21/2024,KDN 490J MAZDA,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/21/2024,KCT 046L MITSUBISHI,NORMAL WASH,300,MPESA,PAID,,,,
10/21/2024,KDK 305L NOTE,NORMAL WASH,300,MPESA,PAID,,,GORDON(SHARON),
10/22/2024,KDL 430G VOLVO,NORMAL WASH,200,CASH,PAID,,,,
10/22/2024,KAQ 323U SUBARU,NORMAL WASH,200,MPESA,PAID,200,,BOOSTED,
10/22/2024,KAJ 095W PAJERO,WASH AND VACUUM,600,MPESA,PAID,,,MUTUA,
10/22/2024,KCR 330Z COLT,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/22/2024,KBT 377P BMW,NORMAL WASH,600,MPESA,PAID,,,STEVE,
10/22/2024,KCX 044X SUBARU,WASH AND VACUUM,600,MPESA,PAID,,,MUTUA,
10/23/2024,KBU,WASH AND VACUUM AND ENGINE,900,MPESA,PAID,,,MUTUA,
10/23/2024,GKA 106T  MERCEDES,NORMAL WASH,,,UNPAID,300,SERVICE INCLUSIVE,MUTUA,
10/23/2024,KCD 434M AUDI,WASH AND ENGINE,600,MPESA,PAID,,,STEVE,
10/23/2024,KCD 385F NISSAN NIVARRA,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/23/2024,KBR 157V FORRESTER,WASH AND ENGINE,600,MPESA,PAID,600,,MUTUA,
10/23/2024,GKA 955R MERCEDES,NORMAL WASH,,,UNPAID,"5,500.00",INTERIOR WASH(REPEATE WITH DECREASER),FOREIGN AFFAIRS,
10/23/2024,KCN 491F ALLION,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/23/2024,T874EJL BMW,NORMAL WASH,200,MPESA,PAID,,,BOOSTED,
10/24/2024,KCR 330R COLT,NORMAL WASH,200,MPESA,PAID,,,MUTUA,
10/24/2024,KBZ 052W NISSAN PATROL,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/24/2024,KCR 006K PRADO,WASH AND VACUUM,,,UNPAID,600,SERVICE INCLUSIVE,MUTUA,
10/24/2024,KBM 626V RANGEROVER,NORMAL WASH,,,PAID,,INTERIOR FITTINGS(ANTHONY),STEVE,
10/24/2024,KCS 337D FILDER,WASH AND ENGINE,600,MPESA,PAID,,,STEVE,
10/24/2024,KDR 997A PREMIO,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/24/2024,KDQ 731F HONDA FIT,NORMAL WASH,,,UNPAID,300,,MUTUA,
10/24/2024,KCD 434M AUDI,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/24/2024,KCT 339L PAJERO,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/24/2024,KBE 663M CARRINA,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/24/2024,KBR 338E SUBARU,WASH AND ENGINE,500,MPESA,PAID,,,BOOSTED,
10/24/2024,KCY 688F COLT,NORMAL WASH,200,MPESA,PAID,,,BOOSTED,
10/24/2024,KAV 859P ALFAROMEO,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/24/2024,KBZ 286W BMW X3,NORMAL WASH,,,UNPAID,600,,MUTUA,
10/25/2024,KCF 001G LEGACY,NORMAL WASH,,,UNPAID,200,,BOOSTED(MUTUA),
10/25/2024,KDH 383Y BMW,WASH AND ENGINE,600,,PAID,,,STEVE,
10/25/2024,KCX 044X IMPREZZA,ENGINE WATER WASH,300,,PAID,,,MUTUA,
10/25/2024,KDB 647W PRADO,NORMAL WASH,900,,PAID,,HEADLIGHT RESTORATION,STEVE,
10/26/2024,KDH 077A SUBARU IMPREZZA,NORMAL WASH,,,UNPAID,200,,BOOSTED,
10/26/2024,KCZ 942T NOAH,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/26/2024,KAX 577S COROLLA,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/26/2024,KBJ 632A MERCEDES,WASH AND ENGINE,600,CASH,PAID,,,STEVE,
10/26/2024,KCW 585P TIGUAN,WASH AND ENGINE,600,CASH,PAID,,,STEVE,
10/26/2024,GK 122T MERCEDES,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/26/2024,KCS 686M IMPREZZA,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/26/2024,GKA 106T MERCEDES,NORMAL WASH,,,UNPAID,300,,MUTUA(SERVICE INCLUSIVE),
10/26/2024,KDN 490J MAZDA,NORMAL WASH,,MPESA,PAID,,,MUTUA(neighbor),
10/26/2024,KDA 781S ALLION,NORMAL WASH,300,CASH,PAID,300,,STEVE,
10/26/2024,KCG 369B HARRIER,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/26/2024,KDD 448E PRADO,NORMAL WASH,400,MPESA,PAID,,,MUTUA(CK),
10/26/2024,KBW 845T HONDA,NORMAL WASH,300,,PAID,,,STEVE,
10/26/2024,KDC 966F FORD,NORMAL WASH,,,UNPAID,300,,MUTUA(ANTHONY),
10/28/2024,GKB 619G MERCEDES,NORMAL WASH,,,UNPAID,300,,STEVE(SERVICE INCLUSIVE),
10/28/2024,KCC 200G PRADO,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/28/2024,KDL 213N ISUZU DMAX,NORMAL WASH,,,UNPAID,300,,MUTUA,
10/28/2024,KDP 574D FORESSTER,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/28/2024,KBT 316V LEXUS,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/28/2024,KCD 385F TOYOTA NAVARRO,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/28/2024,KCC 305B TOYOTA NOAH,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/28/2024,KCD 719K MAZDA DEMIO,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/29/2024,KDL 072G NISSAN AD,WASH AND ENGINE,,,UNPAID,500,,MUTUA(BOOSTED),
10/29/2024,KDH 211N TOYOTA MARK X,NORMAL WASH,300,MPESA,PAID,300,,STEVE,
10/29/2024,KCP 684T HYUNDAI,NORMAL WASH,,,UNPAID,300,,MUTUA,
10/29/2024,KDH 746M CUBE,NORMAL WASH,,,UNPAID,200,,MUTUA(BOOSTED),
10/29/2024,KDR 709N SIENTA TOYOTA,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/29/2024,GEAR BOX,NORMAL WASH,,,UNPAID,200,,MUTUA(BOOSTED),
10/30/2024,KDC 292U PRADO,WASH AND VACUUM,,,UNPAID,600,SERVICE INCLUSIVE,MUTUA,
10/30/2024,KAX 577J CORONA,NORMAL WASH,300,MPESA,PAID,300,,STEVE,
10/30/2024,KCZ 942T TOYOTA NOAH,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/30/2024,KBZ 052W NISSAN PATROL,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/30/2024,KCD 385F NAVARA,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/30/2024,KAY 456B SUBARU FORRESTER,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/30/2024,KDP 427F MAZDA DEMIO,NORMAL WASH,,,UNPAID,200,,BOOSTED(MUTUA),
10/30/2024,KCQ 019B MERCEDES,NORMAL WASH,,,UNPAID,300,FOREIGN AFFAIRS,STEVE,
10/30/2024,KDC 292U PRADO,NORMAL WASH,,,UNPAID,"2,000.00",WATER MARK REMOVAL(FOREIGN AFFAIRS),STEVE,
10/30/2024,KDA 200K MERCEDES,NORMAL WASH,300,,PAID,,,STEVE,
10/31/2024,KCR 330Z COLT,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/31/2024,KCX 044X IMPREZZA,NORMAL WASH,300,MPESA,PAID,,,MUTUA,
10/31/2024,KDC 082B BMW,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/31/2024,KBS 154M TOYOTA,NORMAL WASH,300,,PAID,,,STEVE,
10/31/2024,KDP 574D FORRESTER,NORMAL WASH,300,MPESA,PAID,,,STEVE,
10/31/2024,KBS 149M IST,NORMAL WASH,300,,PAID,,,STEVE,
10/31/2024,KAU 240J IMPREZZA(GS8),ENGINE WATER WASH,300,,UNPAID,,,MUTUA,
10/31/2024,KBX 580Q MERCEDES,WASH AND ENGINE,600,,PAID,,,STEVE,
